STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,ANNUAL_ESAL_TREND,ANNUAL_GESAL_TREND
1,Alabama,0506,2,2010,110807,124527
1,Alabama,0506,1,2010,110807,124527
1,Alabama,0506,2,2011,112599,126558
1,Alabama,0506,1,2011,112599,126558
1,Alabama,0506,1,2009,107839,121206
1,Alabama,0506,2,2007,104299,117197
1,Alabama,0506,1,2007,104299,117197
1,Alabama,0506,2,2012,115019,129254
1,Alabama,0506,1,2012,115019,129254
1,Alabama,0506,1,2008,106656,119861
1,Alabama,0506,2,2009,107839,121206
1,Alabama,0506,3,2014,117070,132910
1,Alabama,0506,1,2003,97061,109080
1,Alabama,0506,2,2005,100594,113041
1,Alabama,0506,1,2004,98758,111001
1,Alabama,0506,2,2004,98758,111001
1,Alabama,0506,2,2003,97061,109080
1,Alabama,0506,1,2006,102488,115186
1,Alabama,0506,2,2006,102488,115186
1,Alabama,0506,1,2005,100594,113041
1,Alabama,0506,1,2002,95291,107076
1,Alabama,0506,1,2000,91588,102927
1,Alabama,0506,2,2000,91588,102927
1,Alabama,0506,2,2002,95291,107076
1,Alabama,0506,1,1999,92502,103965
1,Alabama,0506,2,1999,92502,103965
1,Alabama,0506,2,2001,92867,104378
1,Alabama,0506,1,2001,92867,104378
1,Alabama,0506,1,1996,85538,96117
1,Alabama,0506,2,1996,85538,96117
1,Alabama,0506,2,1998,90345,101521
1,Alabama,0506,1,1998,90345,101521
1,Alabama,0506,1,1997,87439,98272
1,Alabama,0506,2,1997,87439,98272
1,Alabama,0506,1,1991,73485,82596
1,Alabama,0506,2,1991,73485,5205
1,Alabama,0506,2,1992,75890,85279
1,Alabama,0506,1,1992,75890,85279
1,Alabama,0506,1,1995,82742,92991
1,Alabama,0506,2,1995,82742,92991
1,Alabama,0506,1,1994,43720,49136
1,Alabama,0506,2,1994,43720,49136
1,Alabama,0506,2,1993,77818,87463
1,Alabama,0506,1,1993,77818,87463
1,Alabama,0506,1,1984,62817,70591
1,Alabama,0506,1,1985,63444,71304
1,Alabama,0506,1,1982,44085,49549
1,Alabama,0506,1,1986,71350,80178
1,Alabama,0506,1,1987,79588,89467
1,Alabama,0506,1,1990,71715,80591
1,Alabama,0506,1,1983,47253,53097
1,Alabama,0506,1,1988,85201,95777
1,Alabama,0506,1,1989,88867,99889
1,Alabama,0506,1,1980,53121,59695
1,Alabama,0506,1,1978,53341,59944
1,Alabama,0506,1,1981,52976,59531
1,Alabama,0506,1,1977,45490,51140
1,Alabama,0506,1,1979,53432,60051
1,Alabama,0506,1,1976,44205,29050
1,Alabama,0507,1,1975,0,0
1,Alabama,0507,1,2017,119902,139016
1,Alabama,0507,2,2017,119902,139016
1,Alabama,0507,1,2016,118511,137387
1,Alabama,0507,2,2016,118511,137387
1,Alabama,0507,2,2015,116472,135007
1,Alabama,0507,1,2015,116472,135007
1,Alabama,0507,1,2013,112924,130906
1,Alabama,0507,2,2013,112924,130906
1,Alabama,0507,1,2007,101123,117197
1,Alabama,0507,2,2010,107427,124527
1,Alabama,0507,1,2010,107427,124527
1,Alabama,0507,1,2011,109164,126558
1,Alabama,0507,2,2011,109164,126558
1,Alabama,0507,2,2009,104554,121206
1,Alabama,0507,1,2009,104554,121206
1,Alabama,0507,2,2007,101123,117197
1,Alabama,0507,2,2012,111513,129254
1,Alabama,0507,1,2012,111513,129254
1,Alabama,0507,2,2008,103410,119861
1,Alabama,0507,1,2008,103410,119861
1,Alabama,0507,2,2014,114639,132910
1,Alabama,0507,1,2014,114639,132910
1,Alabama,0507,2,2005,97532,113041
1,Alabama,0507,1,2005,97532,113041
1,Alabama,0507,1,2004,95749,111001
1,Alabama,0507,2,2004,95749,111001
1,Alabama,0507,2,2003,94104,109080
1,Alabama,0507,1,2003,94104,109080
1,Alabama,0507,1,2006,99368,115186
1,Alabama,0507,2,2006,99368,115186
1,Alabama,0507,1,2002,92389,107076
1,Alabama,0507,2,2002,92389,107076
1,Alabama,0507,1,2001,90038,104378
1,Alabama,0507,2,2001,90038,104378
1,Alabama,0507,1,1999,89684,103965
1,Alabama,0507,2,1999,89684,103965
1,Alabama,0507,2,2000,88799,102927
1,Alabama,0507,1,2000,88799,102927
1,Alabama,0507,2,1996,82932,96117
1,Alabama,0507,1,1996,82932,96117
1,Alabama,0507,2,1998,87593,101521
1,Alabama,0507,1,1998,87593,101521
